Source;Epoch timestamp (UTC);Date;Time (UTC);Accel X (G);Accel Y (G);Accel Z (G);Gyro X (rad/s);Gyro Y (rad/s);Gyro Z (rad/s)
01:00:0A:00:00:00:00;1723507198;12/08/24;23:59:58;1.011;-0.215;0.191;-1.0824532508850098;0.23945917189121246;-0.5070181488990784
01:00:0A:00:00:00:00;1723507199;12/08/24;23:59:59;0.932;0.185;0.3;-1.3842206001281738;-0.4605923891067505;-0.13927726447582245
01:00:0A:00:00:00:00;1723507200;13/08/24;00:00:00;0.972;0.03;-0.165;-0.9505062699317932;0.38240164518356323;0.6352998614311218
01:00:0A:00:00:00:00;1723507201;13/08/24;00:00:01;0.948;-0.206;0.16;-0.4996877610683441;0.45204028487205505;-0.06475171446800232
01:00:0A:00:00:00:00;1723507202;13/08/24;00:00:02;0.929;-0.186;0.394;-0.09040805697441101;0.26022857427597046;-0.5852089524269104
01:00:0A:00:00:00:00;1723507203;13/08/24;00:00:03;0.97;0.104;0.454;-0.4801400899887085;-0.8442157506942749;-0.6059783101081848
01:00:0A:00:00:00:00;1723507204;13/08/24;00:00:04;0.924;0.499;0.011;-0.9676105380058289;-0.22602014243602753;-0.12461651116609573
01:00:0A:00:00:00:00;1723507205;13/08/24;00:00:05;0.993;-0.018;-0.169;-1.0763444900512695;-0.5558874011039734;0.30543261766433716
01:00:0A:00:00:00:00;1723507206;13/08/24;00:00:06;0.956;-0.373;-0.232;-0.3738495111465454;1.0115928649902344;0.36163222789764404
01:00:0A:00:00:00:00;1723507207;13/08/24;00:00:07;0.859;-0.141;0.658;-0.3017674386501312;0.03176499158143997;-0.2834414541721344
01:00:0A:00:00:00:00;1723507208;13/08/24;00:00:08;0.926;-0.217;0.321;-3.062878131866455;-0.49357908964157104;-0.3274237811565399
01:00:0A:00:00:00:00;1723507209;13/08/24;00:00:09;0.988;0.055;0.177;-2.415361166000366;-0.030543262138962746;-0.0036651913542300463
01:00:0A:00:00:00:00;1723507210;13/08/24;00:00:10;0.974;-0.013;0.237;-2.185675859451294;0.07696902006864548;-0.18448130786418915
01:00:0A:00:00:00:00;1723507211;13/08/24;00:00:11;0.975;0.112;0.03;-1.7409659624099731;0.05375614017248154;-0.685390830039978
01:00:0A:00:00:00:00;1723507212;13/08/24;00:00:12;0.931;-0.215;0.228;-1.810604453086853;-1.0299187898635864;-0.1918116807937622
01:00:0A:00:00:00:00;1723507213;13/08/24;00:00:13;0.96;0.292;0.125;-1.4672983884811401;0.6340781450271606;0.23579397797584534
01:00:0A:00:00:00:00;1723507214;13/08/24;00:00:14;0.869;-0.463;-0.095;-1.0445796251296997;-0.29077184200286865;-0.2577851116657257
01:00:0A:00:00:00:00;1723507215;13/08/24;00:00:15;0.901;0.028;0.442;-0.6340781450271606;0.598647952079773;-0.1466076523065567
01:00:0A:00:00:00:00;1723507216;13/08/24;00:00:16;0.871;-0.18;0.474;-0.8649851679801941;-0.24556782841682434;-1.0897835493087769
01:00:0A:00:00:00:00;1723507217;13/08/24;00:00:17;0.948;0.223;0.2;-1.3915510177612305;-0.9651670455932617;-0.685390830039978
01:00:0A:00:00:00:00;1723507218;13/08/24;00:00:18;1.005;0.037;0.177;-1.6762142181396484;-0.2272418737411499;0.3188716471195221
