DateTime,Over surface temperature (ºC),Surface temperature (ºC),AccelX
2024-08-16 00:00:00+00:00,6.18,4.12,1.012
2024-08-16 00:01:00+00:00,6.18,4.18,1.017
2024-08-16 00:02:00+00:00,6.18,4.12,1.035
2024-08-16 00:03:00+00:00,6.18,4.18,1.012
2024-08-16 00:04:00+00:00,6.18,4.18,1.013
2024-08-16 00:05:00+00:00,6.18,4.12,1.012
2024-08-16 00:06:00+00:00,6.18,4.18,1.018
2024-08-16 00:07:00+00:00,6.18,4.18,1.013
2024-08-16 00:08:00+00:00,6.18,4.18,1.013
2024-08-16 00:09:00+00:00,6.18,4.12,1.014
2024-08-16 00:10:00+00:00,6.18,4.12,0.984
2024-08-16 00:11:00+00:00,6.18,4.18,1.004
2024-08-16 00:12:00+00:00,6.18,4.18,1.006
2024-08-16 00:13:00+00:00,6.25,4.18,1.029
2024-08-16 00:14:00+00:00,6.18,4.25,0.985
2024-08-16 00:15:00+00:00,6.18,4.25,1.031
2024-08-16 00:16:00+00:00,6.18,4.18,1.022
2024-08-16 00:17:00+00:00,6.18,4.25,1.02
2024-08-16 00:18:00+00:00,6.18,4.18,1.017
2024-08-16 00:19:00+00:00,6.18,4.18,1.016
2024-08-16 00:20:00+00:00,6.18,4.18,1.017
2024-08-16 00:21:00+00:00,6.18,4.18,1.014
2024-08-16 00:22:00+00:00,6.18,4.18,1.016
2024-08-16 00:23:00+00:00,6.18,4.18,1.015
2024-08-16 00:24:00+00:00,6.18,4.18,1.016
2024-08-16 00:25:00+00:00,6.18,4.25,0.961
2024-08-16 00:26:00+00:00,6.18,4.18,0.95
2024-08-16 00:27:00+00:00,6.18,4.18,0.983
2024-08-16 00:28:00+00:00,6.25,4.18,1.021
2024-08-16 00:29:00+00:00,6.18,4.25,1.025
2024-08-16 00:30:00+00:00,6.18,4.25,1.01
2024-08-16 00:31:00+00:00,6.18,4.25,1.011
2024-08-16 00:32:00+00:00,6.18,4.18,1.021
2024-08-16 00:33:00+00:00,6.18,4.18,1.012
2024-08-16 00:34:00+00:00,6.25,4.18,1.011
2024-08-16 00:35:00+00:00,6.18,4.18,1.015
2024-08-16 00:36:00+00:00,6.18,4.18,1.016
2024-08-16 00:37:00+00:00,6.18,4.18,1.016
2024-08-16 00:38:00+00:00,6.18,4.18,1.016
2024-08-16 00:39:00+00:00,6.25,4.18,1.016
2024-08-16 00:40:00+00:00,6.18,4.18,1.016
2024-08-16 00:41:00+00:00,6.25,4.25,1.047
2024-08-16 00:42:00+00:00,6.18,4.18,0.997
2024-08-16 00:43:00+00:00,6.25,4.25,1.009
2024-08-16 00:44:00+00:00,6.25,4.18,1.025
2024-08-16 00:45:00+00:00,6.25,4.25,0.994
2024-08-16 00:46:00+00:00,6.25,4.18,1.01
2024-08-16 00:47:00+00:00,6.18,4.18,1.023
2024-08-16 00:48:00+00:00,6.25,4.18,1.018
2024-08-16 00:49:00+00:00,6.25,4.18,1.015
2024-08-16 00:50:00+00:00,6.18,4.18,1.014
2024-08-16 00:51:00+00:00,6.18,4.18,1.012
2024-08-16 00:52:00+00:00,6.25,4.18,1.013
2024-08-16 00:53:00+00:00,6.18,4.18,1.013
2024-08-16 00:54:00+00:00,6.25,4.18,1.015
2024-08-16 00:55:00+00:00,6.18,4.18,1.019
2024-08-16 00:56:00+00:00,6.25,4.18,0.962
2024-08-16 00:57:00+00:00,6.25,4.25,0.96
2024-08-16 00:58:00+00:00,6.25,4.18,0.946
2024-08-16 00:59:00+00:00,6.25,4.25,0.989
2024-08-16 01:00:00+00:00,6.25,4.25,1.015
2024-08-16 01:01:00+00:00,6.25,4.25,0.999
2024-08-16 01:02:00+00:00,6.18,4.25,1.017
2024-08-16 01:03:00+00:00,6.18,4.25,1.002
2024-08-16 01:04:00+00:00,6.18,4.25,1.011
2024-08-16 01:05:00+00:00,6.25,4.25,1.013
2024-08-16 01:06:00+00:00,6.18,4.25,1.015
2024-08-16 01:07:00+00:00,6.18,4.25,1.014
2024-08-16 01:08:00+00:00,6.18,4.25,1.015
2024-08-16 01:09:00+00:00,6.18,4.25,1.014
2024-08-16 01:10:00+00:00,6.18,4.25,0.994
2024-08-16 01:11:00+00:00,6.18,4.25,1.018
2024-08-16 01:12:00+00:00,6.12,4.25,1.022
2024-08-16 01:13:00+00:00,6.12,4.18,1.076
2024-08-16 01:14:00+00:00,6.18,4.25,1.019
2024-08-16 01:15:00+00:00,6.12,4.25,1.031
2024-08-16 01:16:00+00:00,6.12,4.31,1.01
2024-08-16 01:17:00+00:00,6.12,4.25,1.018
2024-08-16 01:18:00+00:00,6.18,4.25,1.014
2024-08-16 01:19:00+00:00,6.12,4.25,1.018
2024-08-16 01:20:00+00:00,6.06,4.25,1.017
2024-08-16 01:21:00+00:00,6.12,4.25,1.016
2024-08-16 01:22:00+00:00,6.12,4.25,1.016
2024-08-16 01:23:00+00:00,6.12,4.25,1.015
2024-08-16 01:24:00+00:00,6.12,4.25,1.015
2024-08-16 01:25:00+00:00,6.12,4.31,0.955
2024-08-16 01:26:00+00:00,6.18,4.25,0.899
2024-08-16 01:27:00+00:00,6.12,4.31,0.982
2024-08-16 01:28:00+00:00,6.12,4.25,1.02
2024-08-16 01:29:00+00:00,6.12,4.25,1.04
2024-08-16 01:30:00+00:00,6.12,4.25,1.018
2024-08-16 01:31:00+00:00,6.12,4.25,1.005
2024-08-16 01:32:00+00:00,6.12,4.18,1.007
