Over surface temperature (ºC),Surface temperature (ºC),DateTime,AccelX
6.31,4.25,2024-08-20 00:00:24+00:00,1.014
6.37,4.25,2024-08-20 00:01:20+00:00,1.013
6.37,4.25,2024-08-20 00:02:20+00:00,1.015
6.37,4.25,2024-08-20 00:03:20+00:00,1.002
6.37,4.31,2024-08-20 00:04:20+00:00,0.958
6.37,4.25,2024-08-20 00:05:20+00:00,0.994
6.31,4.25,2024-08-20 00:06:20+00:00,1.02
6.37,4.25,2024-08-20 00:07:20+00:00,0.957
6.31,4.31,2024-08-20 00:08:20+00:00,1.007
6.37,4.25,2024-08-20 00:09:20+00:00,1.043
6.37,4.25,2024-08-20 00:10:20+00:00,1.038
6.37,4.25,2024-08-20 00:11:20+00:00,1.008
6.37,4.25,2024-08-20 00:12:20+00:00,1.009
6.37,4.31,2024-08-20 00:13:20+00:00,1.016
6.37,4.31,2024-08-20 00:14:20+00:00,1.016
6.37,4.25,2024-08-20 00:15:20+00:00,1.015
6.37,4.25,2024-08-20 00:16:20+00:00,1.016
6.37,4.25,2024-08-20 00:17:19+00:00,1.015
6.37,4.25,2024-08-20 00:18:19+00:00,1.011
6.37,4.25,2024-08-20 00:19:19+00:00,0.954
6.37,4.25,2024-08-20 00:20:19+00:00,1.067
6.37,4.25,2024-08-20 00:21:19+00:00,0.933
6.37,4.31,2024-08-20 00:22:19+00:00,0.979
6.37,4.31,2024-08-20 00:23:19+00:00,1.036
6.31,4.25,2024-08-20 00:24:19+00:00,1.016
6.31,4.31,2024-08-20 00:25:19+00:00,1.001
6.37,4.25,2024-08-20 00:26:19+00:00,1.019
6.31,4.31,2024-08-20 00:27:19+00:00,1.011
6.31,4.25,2024-08-20 00:28:19+00:00,1.018
6.31,4.25,2024-08-20 00:29:19+00:00,1.013
6.31,4.25,2024-08-20 00:30:19+00:00,1.015
6.31,4.25,2024-08-20 00:31:19+00:00,1.014
6.31,4.31,2024-08-20 00:32:19+00:00,1.014
6.31,4.31,2024-08-20 00:33:19+00:00,1.025
6.31,4.25,2024-08-20 00:34:19+00:00,1.005
6.31,4.31,2024-08-20 00:35:19+00:00,1.035
6.31,4.31,2024-08-20 00:36:19+00:00,1.044
6.31,4.31,2024-08-20 00:37:19+00:00,1.006
6.31,4.25,2024-08-20 00:38:19+00:00,1.014
6.25,4.25,2024-08-20 00:39:18+00:00,1.004
6.31,4.31,2024-08-20 00:40:18+00:00,1.003
6.31,4.31,2024-08-20 00:41:18+00:00,1.012
6.31,4.31,2024-08-20 00:42:18+00:00,1.013
6.31,4.25,2024-08-20 00:43:18+00:00,1.013
6.31,4.25,2024-08-20 00:44:18+00:00,1.014
6.31,4.31,2024-08-20 00:45:18+00:00,1.016
6.31,4.25,2024-08-20 00:46:18+00:00,1.015
6.37,4.25,2024-08-20 00:47:18+00:00,1.014
6.31,4.25,2024-08-20 00:48:18+00:00,1.0
6.37,4.31,2024-08-20 00:49:18+00:00,0.876
6.37,4.31,2024-08-20 00:50:18+00:00,0.971
6.37,4.31,2024-08-20 00:51:18+00:00,1.03
6.37,4.31,2024-08-20 00:52:18+00:00,1.078
6.37,4.31,2024-08-20 00:53:18+00:00,1.029
6.37,4.31,2024-08-20 00:54:18+00:00,1.011
6.37,4.31,2024-08-20 00:55:18+00:00,1.009
6.37,4.25,2024-08-20 00:56:18+00:00,1.012
6.37,4.31,2024-08-20 00:57:18+00:00,1.005
6.37,4.25,2024-08-20 00:58:18+00:00,1.015
6.37,4.31,2024-08-20 00:59:18+00:00,1.014
6.37,4.31,2024-08-20 01:00:18+00:00,1.015
6.37,4.31,2024-08-20 01:01:13+00:00,1.013
6.37,4.31,2024-08-20 01:02:13+00:00,1.013
6.37,4.31,2024-08-20 01:03:13+00:00,1.005
6.37,4.31,2024-08-20 01:04:13+00:00,0.997
6.37,4.31,2024-08-20 01:05:13+00:00,0.956
6.37,4.31,2024-08-20 01:06:13+00:00,0.951
6.37,4.31,2024-08-20 01:07:13+00:00,1.006
6.43,4.31,2024-08-20 01:08:13+00:00,0.972
6.37,4.31,2024-08-20 01:09:13+00:00,1.003
6.37,4.31,2024-08-20 01:10:13+00:00,1.036
6.37,4.31,2024-08-20 01:11:13+00:00,1.026
6.37,4.31,2024-08-20 01:12:13+00:00,1.009
6.37,4.31,2024-08-20 01:13:13+00:00,1.015
6.43,4.31,2024-08-20 01:14:13+00:00,1.016
6.43,4.31,2024-08-20 01:15:13+00:00,1.014
6.43,4.31,2024-08-20 01:16:13+00:00,1.013
6.37,4.31,2024-08-20 01:17:12+00:00,1.014
6.37,4.31,2024-08-20 01:18:12+00:00,1.025
6.37,4.31,2024-08-20 01:19:12+00:00,1.028
6.43,4.31,2024-08-20 01:20:12+00:00,1.017
6.37,4.31,2024-08-20 01:21:12+00:00,0.984
6.37,4.31,2024-08-20 01:22:12+00:00,0.984
6.43,4.31,2024-08-20 01:23:12+00:00,1.01
6.37,4.31,2024-08-20 01:24:12+00:00,1.033
6.37,4.31,2024-08-20 01:25:12+00:00,1.012
6.37,4.31,2024-08-20 01:26:12+00:00,1.006
6.43,4.31,2024-08-20 01:27:12+00:00,1.007
6.37,4.31,2024-08-20 01:28:12+00:00,1.017
6.37,4.31,2024-08-20 01:29:12+00:00,1.013
6.37,4.37,2024-08-20 01:30:12+00:00,1.014
6.37,4.37,2024-08-20 01:31:12+00:00,1.016
6.37,4.37,2024-08-20 01:32:12+00:00,1.015
6.37,4.37,2024-08-20 01:33:12+00:00,1.02
6.37,4.37,2024-08-20 01:34:12+00:00,0.975
6.43,4.31,2024-08-20 01:35:12+00:00,0.982
6.37,4.31,2024-08-20 01:36:12+00:00,1.034
6.43,4.31,2024-08-20 01:37:12+00:00,1.003
6.43,4.37,2024-08-20 01:38:12+00:00,1.03
6.37,4.37,2024-08-20 01:39:11+00:00,1.03
6.43,4.37,2024-08-20 01:40:11+00:00,0.999
6.37,4.31,2024-08-20 01:41:11+00:00,1.017
6.43,4.37,2024-08-20 01:42:11+00:00,1.01
6.37,4.37,2024-08-20 01:43:11+00:00,1.012
6.37,4.31,2024-08-20 01:44:11+00:00,1.012
6.37,4.37,2024-08-20 01:45:11+00:00,1.014
6.37,4.37,2024-08-20 01:46:11+00:00,1.014
6.43,4.37,2024-08-20 01:47:11+00:00,1.015
6.37,4.37,2024-08-20 01:48:11+00:00,1.013
6.43,4.37,2024-08-20 01:49:11+00:00,1.018
6.37,4.31,2024-08-20 01:50:11+00:00,1.053
6.43,4.37,2024-08-20 01:51:11+00:00,1.032
6.43,4.37,2024-08-20 01:52:11+00:00,1.033
6.37,4.37,2024-08-20 01:53:11+00:00,1.015
6.37,4.37,2024-08-20 01:54:11+00:00,1.026
6.43,4.31,2024-08-20 01:55:11+00:00,1.006
6.43,4.37,2024-08-20 01:56:11+00:00,1.023
6.43,4.31,2024-08-20 01:57:11+00:00,1.021
6.43,4.31,2024-08-20 01:58:11+00:00,1.008
6.43,4.37,2024-08-20 01:59:11+00:00,1.014
6.43,4.37,2024-08-20 02:00:11+00:00,1.014
6.37,4.37,2024-08-20 02:01:06+00:00,1.015
6.43,4.37,2024-08-20 02:02:06+00:00,1.016
6.43,4.37,2024-08-20 02:03:06+00:00,1.015
6.43,4.31,2024-08-20 02:04:06+00:00,0.889
6.43,4.31,2024-08-20 02:05:06+00:00,1.002
6.43,4.37,2024-08-20 02:06:06+00:00,0.945
6.5,4.37,2024-08-20 02:07:06+00:00,1.037
6.43,4.37,2024-08-20 02:08:06+00:00,1.048
6.43,4.37,2024-08-20 02:09:06+00:00,1.035
6.37,4.31,2024-08-20 02:10:06+00:00,1.004
6.37,4.37,2024-08-20 02:11:06+00:00,1.005
6.43,4.37,2024-08-20 02:12:06+00:00,1.005
6.43,4.37,2024-08-20 02:13:06+00:00,1.016
6.43,4.37,2024-08-20 02:14:06+00:00,1.019
6.37,4.31,2024-08-20 02:15:06+00:00,1.016
6.37,4.37,2024-08-20 02:16:06+00:00,1.015
6.43,4.37,2024-08-20 02:17:05+00:00,1.015
6.43,4.37,2024-08-20 02:18:05+00:00,1.014
6.43,4.37,2024-08-20 02:19:05+00:00,0.982
6.43,4.37,2024-08-20 02:20:05+00:00,0.999
6.43,4.37,2024-08-20 02:21:05+00:00,0.976
6.43,4.37,2024-08-20 02:22:05+00:00,0.988
6.43,4.37,2024-08-20 02:23:05+00:00,0.985
6.43,4.43,2024-08-20 02:24:05+00:00,1.01
6.43,4.43,2024-08-20 02:25:05+00:00,1.032
6.43,4.37,2024-08-20 02:26:05+00:00,0.996
6.43,4.37,2024-08-20 02:27:05+00:00,1.008
